"item_key","sequence","section","question_zh","question_en","answer_zh","answer_en","scripture_reference","parent_note"
"first_catechism_q001","1","","谁造了你？","Who made you?","神。","God.","",""
"first_catechism_q002","2","","神还造了什么？","What else did God make?","万物都是神造的。","God made all things.","",""
"first_catechism_q003","3","","为什么神造你和世上万物？","Why did God make you and all things?","为了他自己的荣耀。","For his own glory.","",""
"first_catechism_q004","4","","你怎么才能荣耀神？","How can you glorify God?","爱他并遵行他的命令。","By loving him and doing what he commands.","",""
"first_catechism_q005","5","","为什么你要荣耀神？","Why are you to glorify God?","因为他造我并看顾我。","Because he made me and takes care of me.","",""
"first_catechism_q006","6","","除了这位神外还有其它神吗？","Are there more gods than one?","只有独一真神。","There is only one true God.","",""
"first_catechism_q007","7","","独一真神有几个位格？","How many persons is this one true God?","三个位格。","Three.","",""
"first_catechism_q008","8","","哪三个位格？","Name these three persons.","圣父、圣子、圣灵。","The Father, the Son, and the Holy Spirit.","",""
"first_catechism_q009","9","","神是什么？","What is God?","神是个灵，不像我们有身体，他没有身体。","God is a Spirit and has no body as we do.","",""
"first_catechism_q010","10","","神在哪里？","Where is God?","神无处不在。","God is everywhere.","",""
"first_catechism_q011","11","","你可以看见神吗？","Can you see God?","不--我看不见神，但他任何时间都能看见我。","No – I cannot see God, but he can always see me.","",""
"first_catechism_q012","12","","神无所不知吗？","Does God know all things?","是的--没有一件可以隐瞒过神的。","Yes – nothing can be hidden from God.","",""
"first_catechism_q013","13","","神无所不能吗？","Can God do all things?","是的--神能够做任何符合他圣洁旨意的事。","Yes – God can do all his holy will.","",""
"first_catechism_q014","14","","你从哪里学习爱神和顺服神？","Where do you learn how to love and obey God?","唯有从圣经里。","In the Bible alone.","",""
"first_catechism_q015","15","","圣经的作者是谁？","Who wrote the Bible?","神拣选的人在圣灵的默示下写成。","Chosen men who wrote by the inspiration of the Holy Spirit.","",""
"first_catechism_q016","16","","人类的始祖是谁？","Who were our first parents?","亚当和夏娃。","Adam and Eve.","",""
"first_catechism_q017","17","","神怎样造出人类的始祖？","How did God make our first parents?","神用泥土造了亚当的身体，用亚当的肋骨造了夏娃的身体。","God made Adam’s body out of the ground, and Eve’s body out of a rib from Adam.","",""
"first_catechism_q018","18","","除了身体之外，神还给了亚当和夏娃什么？","What did God give Adam and Eve besides bodies?","他还给了他们不会灭亡的灵魂。","He gave them spirits that will last forever.","",""
"first_catechism_q019","19","","你除了身体之外也有灵魂吗？","Do you have a spirit as well as a body?","是--我的灵魂是不会灭亡的。","Yes – and my spirit is going to last forever.","",""
"first_catechism_q020","20","","你怎么知道你的灵魂是不会灭亡的？","How do you know your spirit will last forever?","因为圣经这样告诉我。","Because the Bible tells me so.","",""
"first_catechism_q021","21","","亚当夏娃在神造他们之初是怎样的状况？","In what condition did God make Adam and Eve?","神造他们圣洁、幸福。","He made them holy and happy.","",""
"first_catechism_q022","22","","圣约是什么？","What is a sacred covenant?","是神所设立的我们与神的关系，并由神的话所保证。","A relationship that God sets up with us and guarantees by his word.","",""
"first_catechism_q023","23","","神与亚当立的约是什么约？","What covenant did God make with Adam?","是生命之约。","The covenant of life.","",""
"first_catechism_q024","24","","在生命之约中神要求亚当做什么？","What did God require Adam to do in the covenant of life?","完全的顺服神。","To obey him perfectly.","",""
"first_catechism_q025","25","","在生命之约中神的应许是什么？","What did God promise in the covenant of life?","如果亚当顺服神将得到永生为奖赏。","To reward Adam with life if he obeyed him.","",""
"first_catechism_q026","26","","在生命之约中神告诫亚当什么？","What did God threaten in the covenant of life?","如果亚当不顺服神他必定死。","To punish Adam with death if he disobeyed him.","",""
"first_catechism_q027","27","","亚当守住了生命之约吗？","Did Adam keep the covenant of life?","没有--他犯罪背叛神。","No – he sinned against God.","",""
"first_catechism_q028","28","","什么是罪？","What is sin?","任何主动地违反神的命令、或轻视忽略神的命令的思想、言语、行为。","Any thought, word or deed that breaks God’s law by omission or commission.","",""
"first_catechism_q029","29","","什么是轻视忽略的罪？","What is a sin of omission?","不做神要求我们做的。","Not being or doing what God requires.","",""
"first_catechism_q030","30","","什么是主动地犯罪？","What is a sin of commission?","做神禁止我们做的。","doing what God forbids.","",""
"first_catechism_q031","31","","罪的后果是什么？","What does every sin deserve?","神的咒诅和惩罚。","The wrath and curse of God.","",""
"first_catechism_q032","32","","我们的始祖犯了什么罪？","What was the sin of our first parents?","吃了禁果。","Eating the forbidden fruit.","",""
