character,pinyin_marked,meaning,word_1,word_2,example_sentence,sequence
火,huǒ,火焰；会发光发热,火苗,火车,像一团火在燃烧的样子，这是“火”字。,1
友,yǒu,朋友；彼此友好的人,朋友,友好,手拉手，好朋友。,2
大,dà,大小的大；比一般更大,大人,大山,“大”字像一个双臂大大张开、双脚大大分开的人。,3
听,tīng,用耳朵接收声音,听见,听话,一个人正跪坐着，用耳朵仔细听。,4
口,kǒu,嘴；也指入口、出口,开口,门口,“口”字像一张大大张开的嘴巴。,5
儿,ér,小孩子；儿女,儿童,儿子,“儿”字像一个幼儿。,6
父,fù,父亲；爸爸,父亲,父母,这是铁旦的父亲，就是铁旦的爸爸。,7
上,shàng,位置较高；在上面,上面,上山,红苹果在柜子上面。,8
下,xià,位置较低；在下面,下面,下山,绿苹果在柜子下面。,9
山,shān,地面上高高隆起的地方,大山,山峰,“山”字像一座山，它有三个山峰。,10
力,lì,力量；做事所用的劲,力气,用力,古时候翻土需要花力气。,11
土,tǔ,泥土；土地,泥土,土地,一个从地面凸起的土堆，这是“土”字。,12
五,wǔ,数字五,五个,五月,这里有五个苹果。,13
十,shí,数字十,十个,十月,古人用一根竖线代表“十”。,14
乌,wū,黑色；乌鸦的乌,乌鸦,乌黑,乌鸦全身都是黑色。,15
玉,yù,珍贵而温润的玉石,玉石,白玉,古人根据琮玉造出了“玉”字。,16
鱼,yú,生活在水里的动物,小鱼,鱼儿,一条小鱼在水里游来游去。,17
目,mù,眼睛；也指条目,目光,目录,眼睛就是“目”。,18
舟,zhōu,小船,小舟,舟船,小河上漂浮着一艘小舟。,19
头,tóu,身体最上面的部分,头发,抬头,这是铁旦的头。,20
耳,ěr,听声音的器官,耳朵,耳边,“耳”字像一只耳朵。,21
心,xīn,心脏；也表示思想感情,心里,开心,“心”字的样子像我们的心脏。,22
王,wáng,君王；统治者,国王,王子,古时，斧钺是最高统治者“王”的象征。,23
八,bā,数字八,八个,八月,古时候，“八”表示分开的意思。,24
品,pǐn,品尝；物品；品质,品尝,用品,三个口就是“品”字，用嘴巴反复品尝味道。,25
子,zǐ,孩子；儿女,孩子,儿子,襁褓中的婴儿称为“子”。,26
中,zhōng,中间；里面,中间,中国,棍子中间系了一根红绳。,27
门,mén,供人进出的门,大门,门口,这是两扇门，上面是门楣。,28
分,fēn,把整体分开,分开,分成,刀把苹果分成两半。,29
开,kāi,打开；开始,开门,开心,一个人正在开门。,30
手,shǒu,用来拿东西的身体部分,小手,手心,这是一只手。,31
水,shuǐ,无色透明、可以饮用的液体,喝水,水滴,一条河流下来，溅起水滴。,32
去,qù,从这里到别处,出去,回去,一个人要去另一个地方。,33
多,duō,数量大,很多,多少,两块肉堆在一起，表示“多”。,34
不,bù,表示否定,不要,不是,古时候，“不”字像一个树墩。,35
日,rì,太阳；一天,日出,日子,“日”字像一个圆圆的太阳。,36
月,yuè,月亮；月份,月亮,月光,“月”字像天上弯弯的月牙。,37
天,tiān,天空；一天,天空,今天,人的头顶上就是天。,38
人,rén,人类；一个人,大人,人们,“人”字像一个人侧身站着的样子。,39
牛,niú,一种家畜,黄牛,牛角,“牛”字像一个牛头的样子。,40
小,xiǎo,体积或数量不大,小手,小鱼,绿苹果比红苹果小。,41
羊,yáng,一种温顺的家畜,山羊,羊群,“羊”字像一个羊头的样子。,42
主,zhǔ,主人；主要；主宰,主人,主要,古时候，灯火象征“主”宰之力。,43
电,diàn,电能；闪电,闪电,电话,天空中电闪雷鸣，随后下起雨来。,44
六,liù,数字六,六个,六月,这里有六个苹果。,45
声,shēng,声音,大声,声音,用耳朵听击打乐器的声音。,46
光,guāng,光亮；照明,阳光,光明,有光的地方就明亮。,47
林,lín,成片生长的树木,树林,森林,“林”是两棵树，表示成片的树木。,48
角,jiǎo,动物头上的角；号角,牛角,号角,角声渐渐地高而又高。,49
圣,shèng,神圣；圣洁,圣日,圣经,当记念安息日，守为圣日。,50
约,yuē,约定；契约,约定,立约,我与你们和你们的后裔立约。,51
衣,yī,穿在身上的衣服,衣服,上衣,神为亚当和他妻子作衣服给他们穿。,52
血,xuè,身体里的红色液体,鲜血,血肉,这是我与地上一切有血肉之物立约的记号。,53
年,nián,一年；年岁,新年,年岁,天上的光体可以定日子和年岁。,54
地,dì,土地；地面,大地,地上,起初神创造天地。,55
脚,jiǎo,走路用的身体部分,双脚,脚下,你们洗洗脚，在树下歇息。,56
雨,yǔ,从云中落下的水滴,下雨,大雨,天上的大雨也止住了。,57
盾,dùn,用来防护的盾牌,盾牌,铜盾,罗波安王制造铜盾牌。,58
书,shū,装订成册的文字材料,书本,读书,王听见律法书上的话。,59
后,hòu,后面；后来；王后,后来,王后,王后佩戴金饰站在右边。,60
杖,zhàng,拐杖；手杖,手杖,木杖,耶和华问摩西：“你手里是什么？”他说：“是杖。”,61
杯,bēi,盛水或饮料的器皿,水杯,杯子,法老的杯在我手中。,62
麦,mài,麦子；粮食作物,大麦,麦田,那时正是动手割大麦的时候。,63
无,wú,没有,无声,无酵饼,你要吃无酵饼七日。,64
看,kàn,用眼睛观察,看见,观看,神观看世界。,65
城,chéng,有城墙或人口集中的地方,城市,城门,他们就停工不造那城了。,66
母,mǔ,母亲；妈妈,母亲,母女,夏娃是众生之母。,67
智,zhì,智慧；聪明,智慧,智力,凡心里有智慧的，都要来作耶和华所吩咐的。,68
